rowid,type,name_pfx,name_first,name_last,role,description,headshot_url,headshot
85,featured,NA,Mariana,Gospodinova,"General Manager, Europe, Crypto.com",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6054f65b8edc66fb15672617_A73DCC6E-4749-4B60-87FB-777902FC10D8.jpeg,=IMAGE(H86)
86,featured,NA,Adrian,Grenier,"Co-Founder, DuContra Ventures",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/609b04e30af2ef4e86745f7c_2C61DA19-1362-4CD1-8F49-F2121780B615.jpeg,=IMAGE(H87)
87,featured,NA,Emiliano,Grodzki,"CEO, Bitfarms",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/607f4325ce0d81181446ac50_BDEA5F67-CD23-4722-A989-C16BC6AA272D.jpeg,=IMAGE(H88)
88,featured,NA,Diego,Gutiérrez-Zaldívar,"Co-founder, RSK",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ac5a3c8e2ee78968cd_DiegoGutierrez.jpg,=IMAGE(H89)
89,featured,NA,Nick,Hansen,"CEO & Co-founder, Luxor",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6021b91e6e79cfeb9f4f78c2_Headshot.png,=IMAGE(H90)
90,featured,NA,Dan,Held,"Growth Lead, Kraken",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/606dfff9bdf822f0d98c64ee_FEEB6ED6-58C7-4054-9DC7-C9409B61A6D4.png,=IMAGE(H91)
91,featured,NA,Stacy,Herbert,"Co-Host, Orange Pill Podcast & Keiser Report",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/605235b9f5cf3528953964b3_STACY-HERBERT-HEADSHOT.png,=IMAGE(H92)
92,featured,NA,James,Hilliard,"CTO, Sabra Labs",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8e1941896fff_james-hilliard.jpg,=IMAGE(H93)
93,featured,NA,Guy,Hirsch,"US Managing Director, eToro",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60a568711b79c485f3b37d91_D436DD32-F7F2-4FBD-87C8-63C440C9ACAE.jpeg,=IMAGE(H94)
94,featured,NA,Frank,Holmes,"CEO, Hive Blockchain",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/609352db9f9ba2304c26d573_A0FBF860-88FE-4CFC-B0C3-8F2FD0B852BA.jpeg,=IMAGE(H95)
95,featured,NA,Jeff,Horowitz,"Chief Compliance Officer, BitGo",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60887e2d1d1023e71f8207a0_9FA82EFE-1139-4950-B613-A5152674DA5D.jpeg,=IMAGE(H96)
96,featured,NA,Derar,Islim,"COO, Genesis",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6080f0e979acc032910197f3_22173C47-C3E9-4D9F-8A85-96717280A41D.jpeg,=IMAGE(H97)
97,featured,NA,Isaiah,Jackson,"Author, Bitcoin and Black America",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5f724682e5bff4ec95bd310b_isaiah.JPG,=IMAGE(H98)
98,featured,NA,Jamal,James,"Lead Frontend Engineer, Lightning Labs",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6058e1845693a248fed5df23_1E66FEBE-43E3-45E3-92A7-42D8ED3A82A0.jpeg,=IMAGE(H99)
99,featured,NA,Mason,Jappa,"CEO, Blockware Solutions",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/603e7e79cc4eaa10e364e18d_Mason%2BHeadshot%20(1).jpg,=IMAGE(H100)
100,featured,NA,Alice Marie,Johnson,"CEO, Taking Action for Good",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/609b50f6946ae4b3455b584e_A92AFCB6-BD0B-40F9-98C6-53131684F4F4.jpeg,=IMAGE(H101)
101,featured,NA,Max,Keiser,"Co-Host, Orange Pill Podcast & Keiser Report",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/605235946e99a8a8231eada8_Screen%20Shot%202021-03-17%20at%2011.59.53%20AM.png,=IMAGE(H102)
102,featured,NA,Jeff,Kilburg,"Partner at Valkyrie, CIO of Sanctuary Wealth",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60a1cc00613973458cd6c209_1E6BACF5-328E-49D7-AE52-ED3326CB6489.jpeg,=IMAGE(H103)
103,featured,NA,Alyse,Killeen,"Founder & Managing Partner, Stillmark",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/60936c5db91a197bd7bd011e_9B961488-5ED7-45E5-B8B9-777F40C89F49.jpeg,=IMAGE(H104)
104,featured,NA,Mike,Kirillov,"Unbank Yourself, Hito Wallet",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/6074939b38750a366055aef4_2463DED4-4CA6-4FCE-8A06-3032084CCCBC.jpeg,=IMAGE(H105)
105,featured,NA,Cory,Klippsten,"CEO, Swan Bitcoin",NA,https://assets-global.website-files.com/5eed34ac5a3c8e7fe48968bc/5eed34ad5a3c8e805f897050_CoryKlippsten.jpeg,=IMAGE(H106)
